x,y,real_psi_tilde,imag_psi_tilde,physical_density
-2.6250000000000000e+00,-5.2500000000000000e+00,8.4470424470818411e-08,0.0000000000000000e+00,5.0739574117548360e-14
-2.2500000000000000e+00,-5.2500000000000000e+00,1.9961842096961346e-07,0.0000000000000000e+00,2.8336009948730183e-13
-1.8750000000000000e+00,-5.2500000000000000e+00,4.3084165986120428e-07,0.0000000000000000e+00,1.3199966995339210e-12
-1.5000000000000000e+00,-5.2500000000000000e+00,7.7632527281427804e-07,0.0000000000000000e+00,4.2857310521611612e-12
-1.1250000000000000e+00,-5.2500000000000000e+00,1.2459909652100872e-06,0.0000000000000000e+00,1.1039953673850060e-11
-7.5000000000000000e-01,-5.2500000000000000e+00,1.7469698731404932e-06,0.0000000000000000e+00,2.1702426578919187e-11
-3.7500000000000000e-01,-5.2500000000000000e+00,2.1353260509174230e-06,0.0000000000000000e+00,3.2423945555389134e-11
0.0000000000000000e+00,-5.2500000000000000e+00,2.2887870954551242e-06,0.0000000000000000e+00,3.7251885285844652e-11
3.7500000000000000e-01,-5.2500000000000000e+00,2.1327875419593353e-06,0.0000000000000000e+00,3.2346899193862711e-11
7.5000000000000000e-01,-5.2500000000000000e+00,1.7430089604509760e-06,0.0000000000000000e+00,2.1604126124177012e-11
1.1250000000000000e+00,-5.2500000000000000e+00,1.2425244006388843e-06,0.0000000000000000e+00,1.0978608968412577e-11
1.5000000000000000e+00,-5.2500000000000000e+00,7.7835828716045601e-07,0.0000000000000000e+00,4.3082070982496630e-12
1.8750000000000000e+00,-5.2500000000000000e+00,4.2585552037282402e-07,0.0000000000000000e+00,1.2896207945387286e-12
2.2500000000000000e+00,-5.2500000000000000e+00,1.9870569475157480e-07,0.0000000000000000e+00,2.8077477778990951e-13
2.6250000000000000e+00,-5.2500000000000000e+00,8.1143085996896652e-08,0.0000000000000000e+00,4.6820980658487223e-14
3.0000000000000000e+00,-5.2500000000000000e+00,2.7267227898850474e-08,0.0000000000000000e+00,5.2871233229358192e-15
3.3750000000000000e+00,-5.2500000000000000e+00,1.6260550895439594e-08,0.0000000000000000e+00,1.8802169985648452e-15
3.7500000000000000e+00,-5.2500000000000000e+00,3.1816217372002744e-09,0.0000000000000000e+00,7.1983764470224288e-17
4.1250000000000000e+00,-5.2500000000000000e+00,6.2750394011844301e-09,0.0000000000000000e+00,2.8000796079229902e-16
